block_number,timestamp,base_fee_per_gas
24443588,1770934199,66751924
24443589,1770934211,64582231
24443590,1770934223,69311025
24443591,1770934235,68851684
24443592,1770934247,69155159
24443593,1770934259,70303036
24443594,1770934271,67703953
24443595,1770934283,69015507
24443596,1770934295,62593658
24443597,1770934307,56797527
24443598,1770934319,63610518
24443599,1770934331,60036620
24443600,1770934343,60464192
24443601,1770934355,60543512
24443602,1770934367,61283724
24443603,1770934379,58856622
24443604,1770934391,54558707
24443605,1770934403,50974418
24443606,1770934415,57324088
24443607,1770934427,57885059
24443608,1770934439,56292870
24443609,1770934451,54436156
24443610,1770934463,56017583
24443611,1770934475,54631819
24443612,1770934487,57251189
24443613,1770934499,51404732
24443614,1770934511,50881466
24443615,1770934523,54170557
24443616,1770934535,53908631
24443617,1770934547,54738876
24443618,1770934559,57296001
24443619,1770934571,54714206
24443620,1770934583,55003606
24443621,1770934595,52000037
24443622,1770934607,52487163
24443623,1770934619,51959124
24443624,1770934631,49794860
24443625,1770934643,52712329
24443626,1770934655,54834480
24443627,1770934667,52713626
24443628,1770934679,51571208
24443629,1770934691,52819953
24443630,1770934703,52300520
24443631,1770934715,52210883
24443632,1770934727,53293104
24443633,1770934739,53022002
24443634,1770934751,51383948
24443635,1770934763,51966090
24443636,1770934775,51613099
24443637,1770934787,49467789
24443638,1770934799,48063373
24443639,1770934811,54069302
24443640,1770934823,54491326
24443641,1770934835,55845648
24443642,1770934847,54513323
24443643,1770934859,57601860
24443644,1770934871,57641654
24443645,1770934883,56220812
24443646,1770934895,54873176
24443647,1770934907,56437913
24443648,1770934919,57580172
24443649,1770934931,58471103
24443650,1770934943,53419151
24443651,1770934955,55789156
24443652,1770934967,50236611
24443653,1770934979,52878728
24443654,1770934991,56903972
24443655,1770935003,62523210
24443656,1770935015,63365230
24443657,1770935027,57197193
24443658,1770935039,55526850
24443659,1770935051,56140734
24443660,1770935063,55765151
24443661,1770935075,58627429
24443662,1770935087,58543896
24443663,1770935099,57964116
24443664,1770935111,53636471
24443665,1770935123,60330887
24443666,1770935135,56870331
24443667,1770935147,55906925
24443668,1770935159,60042277
24443669,1770935171,67545807
24443670,1770935183,67169803
24443671,1770935195,67501914
24443672,1770935207,65592282
24443673,1770935219,70525562
24443674,1770935231,70386600
24443675,1770935243,66769650
24443676,1770935255,70720871
24443677,1770935267,72609836
24443678,1770935279,76712979
24443679,1770935291,73343289
24443680,1770935303,70683557
24443681,1770935315,64706783
24443682,1770935327,66322132
24443683,1770935339,71581527
24443684,1770935351,78068042
24443685,1770935363,74311918
24443686,1770935375,72790423
24443687,1770935387,72609119
24443688,1770935399,71384757
24443689,1770935411,68858387
24443690,1770935423,73270875
24443691,1770935435,82422217
24443692,1770935447,81667520
24443693,1770935459,82373830
24443694,1770935471,78947495
24443695,1770935483,78659641
24443696,1770935495,80865895
24443697,1770935507,78619807
24443698,1770935519,81415903
24443699,1770935531,78234843
24443700,1770935543,75518248
24443701,1770935555,75897871
24443702,1770935567,77328032
24443703,1770935579,74213633
24443704,1770935591,78837778
24443705,1770935603,77456390
24443706,1770935615,77680970
24443707,1770935627,78631789
24443708,1770935639,71069242
24443709,1770935651,76634794
24443710,1770935663,69299519
24443711,1770935675,65538464
24443712,1770935687,73704437
24443713,1770935699,72374504
24443714,1770935711,68071752
24443715,1770935723,69672738
24443716,1770935735,63191521
24443717,1770935747,68478973
24443718,1770935759,66258902
24443719,1770935771,66243224
24443720,1770935783,63964386
24443721,1770935795,61861291
24443722,1770935807,62168182
24443723,1770935819,60958366
24443724,1770935831,57579477
24443725,1770935843,57695977
24443726,1770935855,55244492
24443727,1770935867,62113521
24443728,1770935879,68339139
24443729,1770935891,67149661
24443730,1770935903,66201517
24443731,1770935915,67341636
24443732,1770935927,67639909
24443733,1770935939,61370022
24443734,1770935951,64728798
24443735,1770935963,67249131
24443736,1770935975,63210068
24443737,1770935987,60911332
24443738,1770935999,58987658
24443739,1770936011,59895289
24443740,1770936023,61554400
24443741,1770936035,61460754
24443742,1770936047,61328411
24443743,1770936059,57731450
24443744,1770936071,53069730
24443745,1770936083,56831375
24443746,1770936095,56493591
24443747,1770936107,51357312
24443748,1770936119,53799824
24443749,1770936131,52230107
24443750,1770936143,52156737
24443751,1770936155,47022821
24443752,1770936167,51502358
24443753,1770936179,57908582
24443754,1770936191,58762452
24443755,1770936203,54121634
24443756,1770936215,53409461
24443757,1770936227,48842589
24443758,1770936239,45437630
24443759,1770936251,51117058
24443760,1770936263,48253558
24443761,1770936275,54284966
24443762,1770936287,61044169
24443763,1770936299,59316367
24443764,1770936311,58369692
24443765,1770936323,63918032
24443766,1770936335,61846515
24443767,1770936347,60454682
24443768,1770936359,57310674
24443769,1770936371,61430755
24443770,1770936383,63105556
24443771,1770936395,59008833
24443772,1770936407,66323604
24443773,1770936419,64999972
24443774,1770936431,73122990
24443775,1770936443,73469775
24443776,1770936455,68546181
24443777,1770936467,72111678
24443778,1770936479,69696396
24443779,1770936491,69340561
24443780,1770936503,77059192
24443781,1770936515,76544951
24443782,1770936527,86107622
24443783,1770936539,78850921
24443784,1770936551,85039257
24443785,1770936563,79622025
24443786,1770936575,88009578
24443787,1770936587,86715278
24443788,1770936599,79490292
24443789,1770936611,77356337
24443790,1770936623,82911750
24443791,1770936635,77833394
24443792,1770936647,71067260
24443793,1770936659,79374723
24443794,1770936671,80888407
24443795,1770936683,71732311
24443796,1770936695,76057497
24443797,1770936707,73447502
24443798,1770936719,77421196
24443799,1770936731,77830739
24443800,1770936743,74866833
24443801,1770936755,68718789
24443802,1770936767,74434929
24443803,1770936779,69795656
24443804,1770936791,64473726
24443805,1770936803,66652527
24443806,1770936815,66843862
24443807,1770936827,63767657
24443808,1770936839,63178285
24443809,1770936851,62099436
24443810,1770936863,63634665
24443811,1770936875,56897494
24443812,1770936887,60205708
24443813,1770936899,55718372
24443814,1770936911,55286192
24443815,1770936923,53957002
24443816,1770936935,49662224
24443817,1770936947,55511873
24443818,1770936959,54044428
24443819,1770936971,53407526
24443820,1770936983,53754010
24443821,1770936995,51343886
24443822,1770937007,51276207
24443823,1770937019,50156787
24443824,1770937031,51614462
24443825,1770937043,49584696
24443826,1770937055,47530686
24443827,1770937067,53470442
24443828,1770937079,52485000
24443829,1770937091,52802653
24443830,1770937103,51975683
24443831,1770937115,50051920
24443832,1770937127,48742432
24443833,1770937139,51892956
24443834,1770937151,52998061
24443835,1770937163,53870154
24443836,1770937175,52736114
24443837,1770937187,54305591
24443838,1770937199,52553174
24443839,1770937211,51525715
24443840,1770937223,51007537
24443841,1770937235,53725557
24443842,1770937247,48089502
24443843,1770937259,46521957
24443844,1770937271,43690396
24443845,1770937283,49141380
24443846,1770937295,48298977
24443847,1770937307,44976351
24443848,1770937319,50580778
24443849,1770937331,56873858
24443850,1770937343,56384097
24443851,1770937355,53556860
24443852,1770937367,51754186
24443853,1770937379,49134614
24443854,1770937391,55093702
24443855,1770937403,55148834
24443856,1770937415,52202535
24443857,1770937427,47768439
24443858,1770937439,51173119
24443859,1770937451,57569023
24443860,1770937463,55510917
24443861,1770937475,62445158
24443862,1770937487,65676609
24443863,1770937499,59075018
24443864,1770937511,58572063
24443865,1770937523,58072092
24443866,1770937535,65300095
24443867,1770937547,60632418
24443868,1770937559,58562632
24443869,1770937571,63490326
24443870,1770937583,65770710
24443871,1770937595,62972371
24443872,1770937607,62053406
24443873,1770937619,60776436
24443874,1770937631,65593526
24443875,1770937643,68935013
24443876,1770937655,63598688
24443877,1770937667,67553814
24443878,1770937679,65542458
24443879,1770937691,62897076
24443880,1770937703,67493663
24443881,1770937715,62713670
24443882,1770937727,61798178
24443883,1770937739,57034262
24443884,1770937751,61249052
24443885,1770937763,59174446
24443886,1770937775,58589819
24443887,1770937787,52484831
24443888,1770937799,50824343
24443889,1770937811,56949399
24443890,1770937823,56700543
24443891,1770937835,53737120
24443892,1770937847,55715274
24443893,1770937859,55038837
24443894,1770937871,53333643
24443895,1770937883,54848032
24443896,1770937895,53669732
24443897,1770937907,52644404
24443898,1770937919,54295708
24443899,1770937931,53633261
24443900,1770937943,53447558
24443901,1770937955,51854407
24443902,1770937967,48881611
24443903,1770937979,54605784
24443904,1770937991,52473233
24443905,1770938003,55562026
24443906,1770938015,52614941
24443907,1770938027,47444382
24443908,1770938039,53286290
24443909,1770938051,57179373
24443910,1770938063,57447473
24443911,1770938075,57059361
24443912,1770938087,56068433
24443913,1770938099,59101474
24443914,1770938111,57667134
24443915,1770938123,52407922
24443916,1770938135,49946715
24443917,1770938147,52387079
24443918,1770938159,55126680
24443919,1770938171,51484851
24443920,1770938183,48308745
24443921,1770938195,53432675
24443922,1770938207,51253571
24443923,1770938219,54776436
24443924,1770938231,52670597
24443925,1770938243,58492488
24443926,1770938255,57525555
24443927,1770938267,53039353
24443928,1770938279,56192509
24443929,1770938291,55824526
24443930,1770938303,53044752
24443931,1770938315,51639484
24443932,1770938327,48919364
24443933,1770938339,54491979
24443934,1770938351,54675809
24443935,1770938363,54074406
24443936,1770938375,49195529
24443937,1770938387,46747474
24443938,1770938399,50949578
24443939,1770938411,48867789
24443940,1770938423,54967741
24443941,1770938435,52658673
24443942,1770938447,58773208
24443943,1770938459,56707521
24443944,1770938471,51879453
24443945,1770938483,52491638
24443946,1770938495,50810505
24443947,1770938507,51650382
24443948,1770938519,45775045
24443949,1770938531,49401772
24443950,1770938543,50590501
24443951,1770938555,54127138
24443952,1770938567,53419886
24443953,1770938579,53638134
24443954,1770938591,51250662
24443955,1770938603,53798533
24443956,1770938615,50175993
24443957,1770938627,54460447
24443958,1770938639,49815895
24443959,1770938651,50519689
24443960,1770938663,54779463
24443961,1770938675,52151378
24443962,1770938687,50703862
24443963,1770938699,53100077
24443964,1770938711,53368592
24443965,1770938723,50885790
24443966,1770938735,50527194
24443967,1770938747,46137410
24443968,1770938759,48408392
24443969,1770938771,54320525
24443970,1770938783,51807171
24443971,1770938795,48948354
24443972,1770938807,52335189
24443973,1770938819,52216224
24443974,1770938831,49939743
24443975,1770938843,47151823
24443976,1770938855,51852923
24443977,1770938867,56512569
24443978,1770938879,58958684
24443979,1770938891,56537952
24443980,1770938903,53327424
